,track_title,album_title
0,For Those About To Rock (We Salute You),For Those About To Rock We Salute You
1,Balls to the Wall,Balls to the Wall
2,Fast As a Shark,Restless and Wild
3,Restless and Wild,Restless and Wild
4,Princess of the Dawn,Restless and Wild
5,Put The Finger On You,For Those About To Rock We Salute You
6,Let's Get It Up,For Those About To Rock We Salute You
7,Inject The Venom,For Those About To Rock We Salute You
8,Snowballed,For Those About To Rock We Salute You
9,Evil Walks,For Those About To Rock We Salute You
10,C.O.D.,For Those About To Rock We Salute You
11,Breaking The Rules,For Those About To Rock We Salute You
12,Night Of The Long Knives,For Those About To Rock We Salute You
13,Spellbound,For Those About To Rock We Salute You
14,Go Down,Let There Be Rock
15,Dog Eat Dog,Let There Be Rock
16,Let There Be Rock,Let There Be Rock
17,Bad Boy Boogie,Let There Be Rock
18,Problem Child,Let There Be Rock
19,Overdose,Let There Be Rock
20,Hell Ain't A Bad Place To Be,Let There Be Rock
21,Whole Lotta Rosie,Let There Be Rock
22,Walk On Water,Big Ones
23,Love In An Elevator,Big Ones
24,Rag Doll,Big Ones
25,What It Takes,Big Ones
26,Dude (Looks Like A Lady),Big Ones
27,Janie's Got A Gun,Big Ones
28,Cryin',Big Ones
29,Amazing,Big Ones
30,Blind Man,Big Ones
31,Deuces Are Wild,Big Ones
32,The Other Side,Big Ones
33,Crazy,Big Ones
34,Eat The Rich,Big Ones
35,Angel,Big Ones
36,Livin' On The Edge,Big Ones
37,All I Really Want,Jagged Little Pill
38,You Oughta Know,Jagged Little Pill
39,Perfect,Jagged Little Pill
40,Hand In My Pocket,Jagged Little Pill
41,Right Through You,Jagged Little Pill
42,Forgiven,Jagged Little Pill
43,You Learn,Jagged Little Pill
44,Head Over Feet,Jagged Little Pill
45,Mary Jane,Jagged Little Pill
46,Ironic,Jagged Little Pill
47,Not The Doctor,Jagged Little Pill
48,Wake Up,Jagged Little Pill
49,You Oughta Know (Alternate),Jagged Little Pill
50,We Die Young,Facelift
51,Man In The Box,Facelift
52,Sea Of Sorrow,Facelift
53,Bleed The Freak,Facelift
54,I Can't Remember,Facelift
55,"Love, Hate, Love",Facelift
56,It Ain't Like That,Facelift
57,Sunshine,Facelift
58,Put You Down,Facelift
59,Confusion,Facelift
60,I Know Somethin (Bout You),Facelift
61,Real Thing,Facelift
62,Desafinado,Warner 25 Anos
63,Garota De Ipanema,Warner 25 Anos
